Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
11,Vinny Testaverde\TestVi00,DAL,41,QB,16,15,5-10-0,297,495,60,3532,17,3.4,20,4,163,53,7.1,6.0,11.9,220.8,76.4,34,182,6.4,6.33,5.27,2,3
12,David Carr\CarrDa00,HOU,25,QB,16,16,7-9-0,285,466,61.2,3531,16,3.4,14,3,172,69,7.6,6.9,12.4,220.7,83.5,49,301,9.5,6.27,5.67,1,1
13,Kerry Collins\CollKe00,OAK,32,QB,14,13,3-10-0,289,513,56.3,3495,21,4.1,20,3.9,155,63,6.8,5.9,12.1,249.6,74.8,25,144,4.6,6.23,5.34,1,2
14,Matt Hasselbeck\HassMa00,SEA,29,QB,14,14,7-7-0,279,474,58.9,3382,22,4.6,15,3.2,176,60,7.1,6.6,12.1,241.6,83.1,30,155,6,6.40,5.94,,
15,Drew Brees*\BreeDr00,SDG,25,QB,15,15,11-4-0,262,400,65.5,3159,27,6.8,7,1.8,142,79,7.9,8.5,12.1,210.6,104.8,18,131,4.3,7.24,7.78,1,2
16,Joey Harrington\HarrJo00,DET,26,QB,16,16,6-10-0,274,489,56,3047,19,3.9,12,2.5,141,62,6.2,5.9,11.1,190.4,77.5,36,196,6.9,5.43,5.13,1,1
17,Byron Leftwich\LeftBy00,JAX,24,QB,14,14,8-6-0,267,441,60.5,2941,15,3.4,10,2.3,141,65,6.7,6.3,11.0,210.1,82.2,25,114,5.4,6.07,5.74,4,4
18,Drew Bledsoe\BledDr00,BUF,32,QB,16,16,9-7-0,256,450,56.9,2932,20,4.4,16,3.6,143,69,6.5,5.8,11.5,183.3,76.6,37,215,7.6,5.58,4.92,,
19,Carson Palmer\PalmCa00,CIN,25,QB,13,13,6-7-0,263,432,60.9,2897,18,4.2,18,4.2,140,76,6.7,5.7,11.0,222.8,77.3,25,178,5.5,5.95,4.96,2,3
20,Chad Pennington\PennCh01,NYJ,28,QB,13,13,8-5-0,242,370,65.4,2673,16,4.3,9,2.4,137,48,7.2,7.0,11.0,205.6,91.0,18,103,4.6,6.62,6.40,2,2
21,Brian Griese\GrieBr00,TAM,29,QB,11,10,4-6-0,233,336,69.3,2632,20,6,12,3.6,126,68,7.8,7.4,11.3,239.3,97.5,26,169,7.2,6.80,6.42,1,1
22,Ben Roethlisberger\RoetBe00,PIT,22,QB,14,13,13-0-0,196,295,66.4,2621,17,5.8,11,3.7,130,58,8.9,8.4,13.4,187.2,98.1,30,213,9.2,7.41,6.93,4,5
23,Kyle Boller\BollKy00,BAL,23,QB,16,16,9-7-0,258,464,55.6,2559,13,2.8,11,2.4,135,57,5.5,5.0,9.9,159.9,70.9,35,247,7,4.63,4.16,2,2
24,Josh McCown\McCoJo01,ARI,25,QB,14,13,6-7-0,233,408,57.1,2511,11,2.7,10,2.5,122,48,6.2,5.6,10.8,179.4,74.1,31,263,7.1,5.12,4.60,2,2
25,Billy Volek\VoleBi00,TEN,28,qb,10,8,2-6-0,218,357,61.1,2486,18,5,10,2.8,120,48,7.0,6.7,11.4,248.6,87.1,30,216,7.8,5.87,5.63,,
26,Michael Vick*\VickMi00,ATL,24,QB,15,15,11-4-0,181,321,56.4,2313,14,4.4,12,3.7,102,62,7.2,6.4,12.8,154.2,78.1,46,266,12.5,5.58,4.87,3,4
27,Tim Rattay\RattTi00,SFO,27,QB,9,9,1-8-0,198,325,60.9,2169,10,3.1,10,3.1,109,65,6.7,5.9,11.0,241.0,78.1,37,211,10.2,5.41,4.72,1,1
28,Kurt Warner\WarnKu00,NYG,33,QB,10,9,5-4-0,174,277,62.8,2054,6,2.2,4,1.4,94,62,7.4,7.2,11.8,205.4,86.5,39,196,12.3,5.88,5.69,0,1
29,A.J. Feeley\FeelA.00,MIA,27,QB,11,8,3-5-0,191,356,53.7,1893,11,3.1,15,4.2,102,38,5.3,4.0,9.9,172.1,61.7,23,136,6.1,4.64,3.44,2,3
30,Jeff Garcia\GarcJe00,CLE,34,QB,11,10,3-7-0,144,252,57.1,1731,10,4,9,3.6,71,99,6.9,6.1,12.0,157.4,76.7,24,99,8.7,5.91,5.17,1,1
31,Patrick Ramsey\RamsPa00,WAS,25,qb,9,7,3-4-0,169,272,62.1,1665,10,3.7,11,4,89,51,6.1,5.0,9.9,185.0,74.8,23,137,7.8,5.18,4.18,,
32,Steve McNair\McNaSt00,TEN,31,QB,8,8,3-5-0,129,215,60,1343,8,3.7,9,4.2,76,37,6.2,5.1,10.4,167.9,73.1,13,95,5.7,5.47,4.40,1,1
33,Ken Dorsey\DorsKe00,SFO,23,qb,8,7,1-6-0,123,226,54.4,1231,6,2.7,9,4,60,59,5.4,4.2,10.0,153.9,62.4,13,94,5.4,4.76,3.56,0,1
34,Mark Brunell\BrunMa00,WAS,34,QB,9,9,3-6-0,118,237,49.8,1194,7,3,6,2.5,68,49,5.0,4.5,10.1,132.7,63.9,15,105,6,4.32,3.81,0,1
35,Jay Fiedler\FiedJa00,MIA,33,qb,8,7,1-6-0,101,190,53.2,1186,7,3.7,8,4.2,55,71,6.2,5.1,11.7,148.3,67.1,25,165,11.6,4.75,3.73,,
